module	entry	group	provenance	labels	asm_path	boundary
bloodprg	0x000600	seg_0000	mz_entry | recursive_graph	entry	re/assembly/bloodprg/seg_0000/func_000600_entry.asm	cfg_blocks_7_terminals_2
bloodprg	0x0006f1	seg_0000	recursive_graph	mem_seg_setup_es8	re/assembly/bloodprg/seg_0000/func_0006f1_mem_seg_setup_es8.asm	cfg_blocks_7_terminals_1
bloodprg	0x000726	seg_0000	recursive_graph	read_cmdline_args	re/assembly/bloodprg/seg_0000/func_000726_read_cmdline_args.asm	cfg_blocks_13_terminals_5
bloodprg	0x00079c	seg_0000	recursive_graph	install_timer_isr_hook	re/assembly/bloodprg/seg_0000/func_00079c_install_timer_isr_hook.asm	cfg_blocks_1_terminals_1
bloodprg	0x0007ea	seg_0000	recursive_graph	program_pit	re/assembly/bloodprg/seg_0000/func_0007ea_program_pit.asm	cfg_blocks_1_terminals_1
bloodprg	0x000813	seg_0000	installed_interrupt_vector | manual_binary_boundary	bloodprg_timer_isr	re/assembly/bloodprg/seg_0000/func_000813_bloodprg_timer_isr.asm	cfg_blocks_36_terminals_3
bloodprg	0x00093b	seg_0000	relocation_proven_far_transfer_target	rtc_time_read	re/assembly/bloodprg/seg_0000/func_00093b_rtc_time_read.asm	cfg_blocks_1_terminals_1
bloodprg	0x000950	seg_0000	relocation_proven_far_transfer_target	get_rtc_date	re/assembly/bloodprg/seg_0000/func_000950_get_rtc_date.asm	cfg_blocks_4_terminals_2
bloodprg	0x000986	seg_0000	direct_call_target | label_csv_target | manual_binary_boundary	bcd_to_binary	re/assembly/bloodprg/seg_0000/func_000986_bcd_to_binary.asm	cfg_blocks_1_terminals_1
bloodprg	0x00099f	seg_0000	recursive_graph	get_ems_int_vector	re/assembly/bloodprg/seg_0000/func_00099f_get_ems_int_vector.asm	cfg_blocks_25_terminals_1
bloodprg	0x000a99	seg_0000	recursive_graph	dos_dup_handle	re/assembly/bloodprg/seg_0000/func_000a99_dos_dup_handle.asm	cfg_blocks_17_terminals_1
bloodprg	0x000b32	seg_0000	recursive_graph	detect_cdrom	re/assembly/bloodprg/seg_0000/func_000b32_detect_cdrom.asm	cfg_blocks_1_terminals_1
bloodprg	0x000b42	seg_0000	recursive_graph	poll_status_port	re/assembly/bloodprg/seg_0000/func_000b42_poll_status_port.asm	cfg_blocks_13_terminals_2
bloodprg	0x000bd7	seg_0000	relocation_proven_far_transfer_target	video_retrace_phase_wait	re/assembly/bloodprg/seg_0000/func_000bd7_video_retrace_phase_wait.asm	cfg_blocks_7_terminals_2
bloodprg	0x000bff	seg_0000	recursive_graph	install_ctrl_break_handler	re/assembly/bloodprg/seg_0000/func_000bff_install_ctrl_break_handler.asm	cfg_blocks_1_terminals_1
bloodprg	0x000c19	seg_0000	installed_interrupt_vector | manual_binary_boundary	bloodprg_ctrl_break_handler	re/assembly/bloodprg/seg_0000/func_000c19_bloodprg_ctrl_break_handler.asm	cfg_blocks_1_terminals_1
bloodprg	0x000c1a	seg_0000	installed_interrupt_vector | manual_binary_boundary	bloodprg_critical_error_handler	re/assembly/bloodprg/seg_0000/func_000c1a_bloodprg_critical_error_handler.asm	cfg_blocks_1_terminals_1
bloodprg	0x000c26	seg_0000	recursive_graph	get_video_mode	re/assembly/bloodprg/seg_0000/func_000c26_get_video_mode.asm	cfg_blocks_1_terminals_1
bloodprg	0x000cc0	seg_0000	recursive_graph	set_video_mode_saved	re/assembly/bloodprg/seg_0000/func_000cc0_set_video_mode_saved.asm	cfg_blocks_1_terminals_1
bloodprg	0x000ccb	seg_0000	recursive_graph	init_early	re/assembly/bloodprg/seg_0000/func_000ccb_init_early.asm	cfg_blocks_5_terminals_2
bloodprg	0x000cef	seg_0000	recursive_graph	mouse_reset_hide	re/assembly/bloodprg/seg_0000/func_000cef_mouse_reset_hide.asm	cfg_blocks_1_terminals_1
bloodprg	0x000d0e	seg_0000	relocation_proven_far_transfer_target	poll_mouse	re/assembly/bloodprg/seg_0000/func_000d0e_poll_mouse.asm	cfg_blocks_4_terminals_1
bloodprg	0x000d4a	seg_0000	recursive_graph	mouse_set_hrange	re/assembly/bloodprg/seg_0000/func_000d4a_mouse_set_hrange.asm	cfg_blocks_1_terminals_1
bloodprg	0x000d61	seg_0000	recursive_graph	print_string_dos	re/assembly/bloodprg/seg_0000/func_000d61_print_string_dos.asm	cfg_blocks_4_terminals_2
bloodprg	0x000d75	seg_0000	relocation_proven_far_transfer_target	error_overlay_draw	re/assembly/bloodprg/seg_0000/func_000d75_set_vga_segment.asm	cfg_blocks_7_terminals_3
bloodprg	0x000e62	seg_0000	direct_call_target | label_csv_target | manual_binary_boundary	layout_offset_calc	re/assembly/bloodprg/seg_0000/func_000e62_layout_offset_calc.asm	cfg_blocks_1_terminals_1
bloodprg	0x000eb0	seg_008b	recursive_graph | relocation_proven_far_transfer_target	bloodprg_main	re/assembly/bloodprg/seg_008b/func_000eb0_bloodprg_main.asm	cfg_blocks_77_terminals_11
bloodprg	0x001344	seg_008b	recursive_graph	ae6_gated_processor	re/assembly/bloodprg/seg_008b/func_001344_ae6_gated_processor.asm	cfg_blocks_3_terminals_1
bloodprg	0x001397	seg_008b	recursive_graph | relocation_proven_far_transfer_target	flag_gated_ae6_a	re/assembly/bloodprg/seg_008b/func_001397_flag_gated_ae6_a.asm	cfg_blocks_3_terminals_1
bloodprg	0x0013c4	seg_008b	recursive_graph | relocation_proven_far_transfer_target	flag_gated_ae6_b	re/assembly/bloodprg/seg_008b/func_0013c4_flag_gated_ae6_b.asm	cfg_blocks_3_terminals_1
bloodprg	0x00147f	seg_008b	recursive_graph	file_open_dd7	re/assembly/bloodprg/seg_008b/func_00147f_file_open_dd7.asm	cfg_blocks_3_terminals_1
bloodprg	0x00149b	seg_008b	recursive_graph	object_heap_access	re/assembly/bloodprg/seg_008b/func_00149b_object_heap_access.asm	cfg_blocks_6_terminals_1
bloodprg	0x0014ca	seg_008b	recursive_graph	confirm_dialog_step	re/assembly/bloodprg/seg_008b/func_0014ca_presentation_state_set.asm	cfg_blocks_6_terminals_2
bloodprg	0x00155f	seg_008b	recursive_graph	resource_archive_index_backing_initialize	re/assembly/bloodprg/seg_008b/func_00155f_open_file_c1.asm	cfg_blocks_7_terminals_3
bloodprg	0x001610	seg_008b	recursive_graph	manu3_hand_frame_dispatch	re/assembly/bloodprg/seg_008b/func_001610_routine.asm	cfg_blocks_15_terminals_5
bloodprg	0x0016a7	seg_008b	recursive_graph	startup_loading_screen_and_write_directory_prepare	re/assembly/bloodprg/seg_008b/func_0016a7_palette_upload_wrapper.asm	cfg_blocks_17_terminals_1
bloodprg	0x00178b	seg_008b	recursive_graph	palette_upload_if_dirty	re/assembly/bloodprg/seg_008b/func_00178b_palette_upload_if_dirty.asm	cfg_blocks_3_terminals_1
bloodprg	0x0017af	seg_008b	recursive_graph	page_offset_helper	re/assembly/bloodprg/seg_008b/func_0017af_page_offset_helper.asm	cfg_blocks_7_terminals_3
bloodprg	0x0017d9	seg_008b	recursive_graph | relocation_proven_far_transfer_target	back_buffer_init	re/assembly/bloodprg/seg_008b/func_0017d9_back_buffer_init.asm	cfg_blocks_1_terminals_1
bloodprg	0x001817	seg_008b	recursive_graph | relocation_proven_far_transfer_target	backbuffer_clear_flags	re/assembly/bloodprg/seg_008b/func_001817_backbuffer_clear_flags.asm	cfg_blocks_1_terminals_1
bloodprg	0x001855	seg_008b	recursive_graph	scene_transition_step	re/assembly/bloodprg/seg_008b/func_001855_scene_transition_2751.asm	cfg_blocks_31_terminals_10
bloodprg	0x001a93	seg_008b	recursive_graph	main_loop_hud_refresh	re/assembly/bloodprg/seg_008b/func_001a93_main_loop_hud_refresh.asm	cfg_blocks_5_terminals_1
bloodprg	0x001ad3	seg_008b	recursive_graph	presentation_choice_transition_step	re/assembly/bloodprg/seg_008b/func_001ad3_flag_gated_259b.asm	cfg_blocks_13_terminals_1
bloodprg	0x001b4b	seg_008b	recursive_graph	save_load_menu_step	re/assembly/bloodprg/seg_008b/func_001b4b_state_snapshot_2739.asm	cfg_blocks_26_terminals_5
bloodprg	0x001d74	seg_008b	recursive_graph	vm_patch_stream_apply	re/assembly/bloodprg/seg_008b/func_001d74_vm_patch_stream_apply.asm	cfg_blocks_3_terminals_1
bloodprg	0x001d94	seg_008b	recursive_graph	vm_context_pointer_setup	re/assembly/bloodprg/seg_008b/func_001d94_vm_context_pointer_setup.asm	cfg_blocks_6_terminals_2
bloodprg	0x001dd8	seg_008b	recursive_graph	flag_gated_b15	re/assembly/bloodprg/seg_008b/func_001dd8_flag_gated_b15.asm	cfg_blocks_15_terminals_3
bloodprg	0x001e5d	seg_008b	recursive_graph | relocation_proven_far_transfer_target	ship_3d_interpolation_gate	re/assembly/bloodprg/seg_008b/func_001e5d_ship_3d_interpolation_gate.asm	cfg_blocks_4_terminals_2
