component	entry	rust_path	rust_symbol
xdb_manu3	0x000000	crates/commander-blood-game/src/native/manu3/model.rs	render_frame
bloodprg	0x002de2	crates/commander-blood-game/src/native/random.rs	BloodPrng::next
bloodprg	0x000986	crates/commander-blood-game/src/native/bloodprg/numbers.rs	packed_bcd_to_binary
bloodprg	0x002693	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::source
bloodprg	0x00280f	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::copy_to_loose
bloodprg	0x0028ca	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::resource_len
bloodprg	0x002abb	crates/commander-blood-game/src/assets.rs	OriginalResourceStore::load
bloodprg	0x002bfd	crates/commander-blood-game/src/native/bloodprg/pbm_image.rs	decode_pbm_image
bloodprg	0x006023	crates/commander-blood-game/src/native/bloodprg/vm.rs	script_field_offset
bloodprg	0x006293	crates/commander-blood-formats/src/code.rs	scan_zero_terminated_payload
bloodprg	0x0062b6	crates/commander-blood-formats/src/code.rs	decode_script_token
bloodprg	0x006462	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::fail_guard
bloodprg	0x006559	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::begin_guard
bloodprg	0x006572	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::end_guard
bloodprg	0x006596	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::concept_guard
bloodprg	0x0065eb	crates/commander-blood-game/src/native/bloodprg/script.rs	ScriptRuntime::timer_state
xdb_manu3	0x000181	crates/commander-blood-game/src/native/manu3/animation.rs	select_animation
xdb_manu3	0x00019b	crates/commander-blood-game/src/native/manu3/animation.rs	step_tweens
xdb_manu3	0x0001df	crates/commander-blood-game/src/native/manu3/animation.rs	construct_tweens
xdb_manu3	0x000270	crates/commander-blood-game/src/native/manu3/geometry.rs	build_projection_matrices
xdb_manu3	0x000549	crates/commander-blood-game/src/native/manu3/geometry.rs	project_entities
xdb_manu3	0x000700	crates/commander-blood-game/src/native/manu3/raster.rs	sort_faces_into_buckets
xdb_manu3	0x000d7d	crates/commander-blood-game/src/native/manu3/raster.rs	face_is_active
bloodprg	0x006339	crates/commander-blood-game/src/native/bloodprg/presentation.rs	evaluate_text_conditions
bloodprg	0x00660c	crates/commander-blood-game/src/native/bloodprg/text_handler.rs	handle_text_instruction
bloodprg	0x006830	crates/commander-blood-game/src/native/bloodprg/procedure.rs	evaluate_procedure_gate
bloodprg	0x00684c	crates/commander-blood-game/src/native/bloodprg/procedure.rs	apply_procedure_activation
bloodprg	0x006863	crates/commander-blood-game/src/native/bloodprg/state.rs	apply_shared_state_operation
bloodprg	0x006902	crates/commander-blood-game/src/native/bloodprg/state.rs	apply_shared_bit_operation
bloodprg	0x005ff6	crates/commander-blood-game/src/native/bloodprg/aboard.rs	insert_aboard_object
bloodprg	0x006946	crates/commander-blood-game/src/native/bloodprg/record.rs	apply_direct_record_operation
bloodprg	0x006aa7	crates/commander-blood-game/src/native/bloodprg/state.rs	apply_bit_flag_operation
