module	entry	function	oracle_status	coverage_status	instruction_count	executed_instruction_count	conditional_branch_count	branch_edge_count	covered_branch_edge_count	missing_branch_edges
amer	0x000b37	xdb_amer_slot1_wave_update	natural_candidate_oracle_verified_codegen_mismatch	complete	35	35	3	6	6	-
amer	0x000bd0	xdb_amer_slot1_finish_update	natural_candidate_compiled_raw_control_flow_reviewed	no_direct_original_execution	7	0	0	0	0	-
amer	0x000c5d	xdb_amer_slot1_camera_update	natural_candidate_compiled_raw_control_flow_reviewed	no_direct_original_execution	12	0	0	0	0	-
amer	0x000c81	xdb_amer_slot1_motion_update	natural_candidate_compiled_raw_control_flow_reviewed	no_direct_original_execution	10	0	1	2	0	0x0c94->0x0c96,0x0c94->0x0ca0
amer	0x000ca1	xdb_amer_slot1_return_update	natural_candidate_compiled_raw_control_flow_reviewed	no_direct_original_execution	4	0	1	2	0	0x0ca4->0x0ca6,0x0ca4->0x0cab
amer	0x000bea	xdb_amer_slot1_state_update	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	27	0	6	12	0	0x0bf1->0x0bf5,0x0bf1->0x0cac,0x0bfb->0x0bff,0x0bfb->0x0cac,0x0c02->0x0c06,0x0c02->0x0cac,0x0c0c->0x0c10,0x0c0c->0x0cac,0x0c13->0x0c17,0x0c13->0x0cac,0x0c24->0x0c26,0x0c24->0x0c5d
amer	0x000cac	xdb_amer_slot1_motion_continuation	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	62	0	6	12	0	0x0cb4->0x0cb6,0x0cb4->0x0d2f,0x0ccc->0x0cce,0x0ccc->0x0cf0,0x0cd5->0x0cd7,0x0cd5->0x0cf0,0x0ce5->0x0ce7,0x0ce5->0x0cf0,0x0cee->0x0cf0,0x0cee->0x0d05,0x0d17->0x0d19,0x0d17->0x0d1b
amer	0x0012b3	xdb_amer_slot3_initial_update	natural_candidate_compiled_raw_control_flow_reviewed	no_direct_original_execution	114	0	8	16	0	0x12df->0x12e1,0x12df->0x12e2,0x12ef->0x12f3,0x12ef->0x13a5,0x130f->0x1311,0x130f->0x131b,0x131e->0x1320,0x131e->0x132c,0x1333->0x1335,0x1333->0x1342,0x1346->0x1348,0x1346->0x135b,0x1365->0x1367,0x1365->0x1383,0x1387->0x1389,0x1387->0x13a4
amer	0x001414	xdb_amer_slot3_update	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	87	0	13	26	0	0x1436->0x1438,0x1436->0x144d,0x1449->0x144d,0x1449->0x1514,0x1452->0x1456,0x1452->0x14ff,0x145c->0x1460,0x145c->0x14ff,0x1466->0x146a,0x1466->0x14ff,0x146d->0x1471,0x146d->0x14ff,0x1477->0x147b,0x1477->0x14ff,0x147e->0x1480,0x147e->0x14ff,0x148e->0x1490,0x148e->0x1496,0x14a4->0x14a6,0x14a4->0x14ff,0x151b->0x151f,0x151b->0x15db,0x153e->0x1540,0x153e->0x1558,0x1555->0x154b,0x1555->0x1557
amer	0x001c34	xdb_amer_resume_1c34	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	19	0	1	2	0	0x1c43->0x1c45,0x1c43->0x1c67
amer	0x001c03	xdb_amer_resume_apply_object_delta	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	17	0	2	4	0	0x1c25->0x1c27,0x1c25->0x1c29,0x1c2c->0x1c2e,0x1c2c->0x1c30
amer	0x001c7d	xdb_amer_resume_stage_pair	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	23	0	1	2	0	0x1c9f->0x1ca1,0x1c9f->0x1ca2
amer	0x001cbf	xdb_amer_resume_stage_timeout	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	5	0	1	2	0	0x1cc7->0x1cc9,0x1cc7->0x1cce
amer	0x001ccf	xdb_amer_resume_stage_final	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	14	0	1	2	0	0x1ce4->0x1ce6,0x1ce4->0x1ce7
amer	0x001cfa	xdb_amer_resume_pair_outside	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	42	0	7	14	0	0x1d20->0x1d22,0x1d20->0x1d3d,0x1d25->0x1d27,0x1d25->0x1d3d,0x1d2b->0x1d2d,0x1d2b->0x1d3d,0x1d31->0x1d33,0x1d31->0x1d3d,0x1d36->0x1d38,0x1d36->0x1d3d,0x1d3b->0x1d3d,0x1d3b->0x1d77,0x1d68->0x1d6a,0x1d68->0x1d70
croolis	0x001b85	xdb_croolis_resume_1b85	natural_candidate_dos_linked_raw_control_flow_reviewed	no_direct_original_execution	18	0	1	2	0	0x1b94->0x1b96,0x1b94->0x1bb3
