script	image	input_bytes	typed_statements	typed_bytes	generic_op_statements	generic_op_bytes	raw_bytes	roundtrip
SCRIPT1	COD	3084	215	3084	80	283	0	byte_exact
SCRIPT1	BAS	32	1	20	0	0	12	byte_exact
SCRIPT2	COD	39042	3272	39042	1823	6844	0	byte_exact
SCRIPT2	BAS	22565	719	21026	0	0	1539	byte_exact
SCRIPT3	COD	34874	3282	34874	1905	6731	0	byte_exact
SCRIPT3	BAS	15242	506	13784	0	0	1458	byte_exact
SCRIPT4	COD	20824	1715	20824	826	2935	0	byte_exact
SCRIPT4	BAS	10585	381	10145	0	0	440	byte_exact
SCRIPT5	COD	20963	1870	20963	1072	4105	0	byte_exact
SCRIPT5	BAS	16312	560	15981	0	0	331	byte_exact
