script	image	bytes	origin	comparison
SCRIPT1	COD	3084	compiled	byte_exact
SCRIPT1	BAS	32	compiled	byte_exact
SCRIPT1	DEB	2740	compiled	byte_exact
SCRIPT1	DIC	2663	compiled	byte_exact
SCRIPT1	VAR	4666	compiled	byte_exact
SCRIPT2	COD	39042	compiled	byte_exact
SCRIPT2	BAS	22565	compiled	byte_exact
SCRIPT2	DEB	6840	compiled	byte_exact
SCRIPT2	DIC	24772	compiled	byte_exact
SCRIPT2	VAR	4882	compiled	byte_exact
SCRIPT3	COD	34874	compiled	byte_exact
SCRIPT3	BAS	15242	compiled	byte_exact
SCRIPT3	DEB	7060	compiled	byte_exact
SCRIPT3	DIC	21068	compiled	byte_exact
SCRIPT3	VAR	5198	compiled	byte_exact
SCRIPT4	COD	20824	compiled	byte_exact
SCRIPT4	BAS	10585	compiled	byte_exact
SCRIPT4	DEB	4880	compiled	byte_exact
SCRIPT4	DIC	15558	compiled	byte_exact
SCRIPT4	VAR	5428	compiled	byte_exact
SCRIPT5	COD	20963	compiled	byte_exact
SCRIPT5	BAS	16312	compiled	byte_exact
SCRIPT5	DEB	4880	compiled	byte_exact
SCRIPT5	DIC	18669	compiled	byte_exact
SCRIPT5	VAR	5008	compiled	byte_exact
