script	image	bytes	sha256	role	status
SCRIPT1	COD	3084	8307d7dd6b6bef63d80083f948a0fd84e588a2fba8cc578cfc3d64b7a74e7431	main_vm_program	byte_exact_cbvm_roundtrip
SCRIPT1	BAS	32	4619e2e7b177a3dd900862f057038d6508f3004398c05406e3e50fbd48111734	conversation_vm_program	byte_exact_cbvm_roundtrip
SCRIPT2	COD	39042	19f686e185eaaa2ce139bb5132a2e6f1d380eb8239492688e2f47030644a9e5e	main_vm_program	byte_exact_cbvm_roundtrip
SCRIPT2	BAS	22565	7db1fe0c0d2ca46b61c208c2b7b6373ff6e3aa7fa905b443b3e4fb251a68c274	conversation_vm_program	byte_exact_cbvm_roundtrip
SCRIPT3	COD	34874	f88360f88c6cff307cc5ce464bb6bd0b429d3f20199117c285dfd5041f91ae41	main_vm_program	byte_exact_cbvm_roundtrip
SCRIPT3	BAS	15242	3af04baa33ca64d5a386b3900e7b4334e0b4f8b091e926c7f34d7d39510eb36d	conversation_vm_program	byte_exact_cbvm_roundtrip
SCRIPT4	COD	20824	686e894d133686851ea6eb09d5c8c7dafd9a636bbe34a6f4f8de9867aec1ef59	main_vm_program	byte_exact_cbvm_roundtrip
SCRIPT4	BAS	10585	a521b9a7add5bc0f30a6099dce0f5327a9cb29696f16a382a9ce69ee0a22386a	conversation_vm_program	byte_exact_cbvm_roundtrip
SCRIPT5	COD	20963	f8783b9279cc79e2adbefc5bb00d561a679b34887395964ed849fab3905ce31a	main_vm_program	byte_exact_cbvm_roundtrip
SCRIPT5	BAS	16312	91ab5fc852bcb3292e12db1224c383884301bccf401e74958dc65cc5e43c44fb	conversation_vm_program	byte_exact_cbvm_roundtrip
