script	image	input_bytes	source	roundtrip
SCRIPT1	COD	3084	script1.blood	byte_exact
SCRIPT1	BAS	32	script1.blood	byte_exact
SCRIPT1	DEB	2740	script1.blood	byte_exact
SCRIPT1	DIC	2663	script1.blood	byte_exact
SCRIPT1	VAR	4666	script1.blood	byte_exact
SCRIPT2	COD	39042	script2.blood	byte_exact
SCRIPT2	BAS	22565	script2.blood	byte_exact
SCRIPT2	DEB	6840	script2.blood	byte_exact
SCRIPT2	DIC	24772	script2.blood	byte_exact
SCRIPT2	VAR	4882	script2.blood	byte_exact
SCRIPT3	COD	34874	script3.blood	byte_exact
SCRIPT3	BAS	15242	script3.blood	byte_exact
SCRIPT3	DEB	7060	script3.blood	byte_exact
SCRIPT3	DIC	21068	script3.blood	byte_exact
SCRIPT3	VAR	5198	script3.blood	byte_exact
SCRIPT4	COD	20824	script4.blood	byte_exact
SCRIPT4	BAS	10585	script4.blood	byte_exact
SCRIPT4	DEB	4880	script4.blood	byte_exact
SCRIPT4	DIC	15558	script4.blood	byte_exact
SCRIPT4	VAR	5428	script4.blood	byte_exact
SCRIPT5	COD	20963	script5.blood	byte_exact
SCRIPT5	BAS	16312	script5.blood	byte_exact
SCRIPT5	DEB	4880	script5.blood	byte_exact
SCRIPT5	DIC	18669	script5.blood	byte_exact
SCRIPT5	VAR	5008	script5.blood	byte_exact
