script	image	input_bytes	typed_statements	typed_bytes	generic_op_statements	generic_op_bytes	raw_bytes	symbolic_labels	procedures	object_aliases	object_alias_uses	field_aliases	field_alias_uses	dictionary_offsets	dictionary_uses	structured_guards	unstructured_guards	guard_rejections	selector_lists	cases	roundtrip
SCRIPT1	COD	3084	215	3084	0	0	0	18	13	6	121	8	29	429	914	4	0	-	0	0	byte_exact
SCRIPT1	BAS	32	6	32	0	0	0	0	0	1	1	0	0	7	7	0	0	-	1	1	byte_exact
SCRIPT2	COD	39042	3272	39042	0	0	0	342	127	43	1424	78	496	2262	10834	232	27	alternate_exit=27	0	0	byte_exact
SCRIPT2	BAS	22565	1106	22565	0	0	0	112	0	27	733	5	85	1844	7479	0	0	-	10	122	byte_exact
SCRIPT3	COD	34874	3282	34874	0	0	0	353	166	70	1391	105	558	2113	9161	199	20	alternate_exit=20	0	0	byte_exact
SCRIPT3	BAS	15242	854	15242	0	0	0	86	0	29	546	5	84	1361	4802	0	0	-	12	98	byte_exact
SCRIPT4	COD	20824	1715	20824	0	0	0	148	85	54	899	81	333	1422	5707	86	1	alternate_exit=1	0	0	byte_exact
SCRIPT4	BAS	10585	518	10585	0	0	0	33	0	10	338	4	17	1172	3373	0	0	-	10	43	byte_exact
SCRIPT5	COD	20963	1870	20963	0	0	0	198	89	58	822	80	276	1577	5501	112	1	alternate_exit=1	0	0	byte_exact
SCRIPT5	BAS	16312	686	16312	0	0	0	53	0	4	503	1	2	1525	5465	0	0	-	4	57	byte_exact
